,Column Names,,,,
Trigger On Create,Trigger On Create,,,,
Trigger Ondelete,Trigger Ondelete,,,,
Trigger On Update Attribute List,Trigger On Update Attribute List,,,,
Ts Id,Ts Id,,,,
Type,Type,,,,
Type Code,Type Code,,,,
Type Of Location Jt,Type Of Location Jt,,,,
Ui Data,Ui Data,,,,
Ui Language Id,Ui Language Id,,,,
Undeliverable Folder,Undeliverable Folder,,,,
Unique Clicks Count,Unique Clicks Count,,,,
Unique Dsc Id,Unique Dsc Id,,,,
Unique Name,Unique Name,,,,
Unique Opens Count,Unique Opens Count,,,,
Unique Profile Id,Unique Profile Id,,,,
Unique Specifier Length,Unique Specifier Length,,,,
Unresolve Email Address If Multiple Match,Unresolve Email Address If Multiple Match,,,,
Unsubscribe Id,Unsubscribe Id,,,,
Unsubscribes Count,Unsubscribes Count,,,,
Uom Id,Uom Id,,,,
Uom Id Entity Type,Uom Id Entity Type,,,,
Uom Id Name,Uom Id Name,,,,
Uom Schedule Id,Uom Schedule Id,,,,
Uom Schedule Id Entity Type,Uom Schedule Id Entity Type,,,,
Uom Schedule Id Name,Uom Schedule Id Name,,,,
Update Content,Update Content,,,,
Update Stage,Update Stage,,,,
Ups Zone,UPS Zone,,,,
Uri,Uri,,,,
Url,Url,,,,
Us State,Us State,,,,
Use Crm Form For Appointment,Use Crm Form For Appointment,,,,
Use Crm Form For Contact,Use Crm Form For Contact,,,,
Use Crm Form For Email,Use Crm Form For Email,,,,
Use Crm Form Fortask,Use Crm Form Fortask,,,,
Use Discount As Percentage,Use Discount As Percentage,,,,
Use Image Strips,Use Image Strips,,,,
Use Inbuilt Rule For Default Price Lists Election,Use Inbuilt Rule For Default Price Lists Election,,,,
Use Legacy Render Ing,Use Legacy Render Ing,,,,
Use Position Hierarchy,Use Position Hierarchy,,,,
User Access Auditing Interval,User Access Auditing Interval,,,,
Use Read Form,Use Read Form,,,,
User Group Id,User Group Id,,,,
User Interface Name,User Interface Name,,,,
User License Type,User License Type,,,,
User Name,User Name,,,,
User Profile,User Profile,,,,
User Pu Id,User Pu Id,,,,
User Session Id,User Session Id,,,,
Use Skype Protocol,Use Skype Protocol,,,,
Utc Conversion Time Zone Code,UTC Conversion Time Zone Code,,,,
Utc Offset,UTC Offset,,,,
V3 Callout Config Hash,V3 Callout Config Hash,,,,
Valid From Date,Valid From Date,,,,
Valid To Date,Valid To Date,,,,
Value,Value,,,,
Value N,Value N,,,,
Vendor Id,Vendor Id,,,,
Vendor Name,Vendor Name,,,,
Vendor Part Number,Vendor Part Number,,,,
Verbose Logging Enabled,Verbose Logging Enabled,,,,
Version,Version,,,,
Version Number,Version Number,,,,
Viewed On,Viewed On,,,,
View Query,View Query,,,,
Visibility,Visibility,,,,
Visit Id,Visit Id,,,,
Visitor Entity,Visitor Entity,,,,
Visualization Pane Layout,Visualization Pane Layout,,,,
Volume Discount Amount,Volume Discount Amount,,,,
Volume Discount Amount Base,Volume Discount Amount Base,,,,
Warning Time,Warning Time,,,,
Warning Time Reached,Warning Time Reached,,,,
Weaknesses,Weaknesses,,,,
Web Content Id,Web Content Id,,,,
Web Resource Hash,Web Resource Hash,,,,
Web Resource Id,Web Resource Id,,,,
Website Url,Website Url,,,,
Web Type,Web Type,,,,
Web Type Br,Web Type Br,,,,
Web Visits Generated,Web Visits Generated,,,,
Week Start Day Code,Week Start Day Code,,,,
Welcome Page Id,Welcome Page Id,,,,
Widget Properties,Widget Properties,,,,
Will Call,Will Call,,,,
Windows Live Id,Windows Live Id,,,,
Winning Strategy,Winning Strategy,,,,
Win Percentage,Win Percentage,,,,
Workday Start Time,Workday Start Time,,,,
Workday Stop Time,Workday Stop Time,,,,
Worker Id,Worker Id,,,,
Worker Id Entity Type,Worker Id Entity Type,,,,
Worker Id Modified On,Worker Id Modified On,,,,
Worker Id Name,Worker Id Name,,,,
Worker Id Type,Worker Id Type,,,,
Worker Id Yomi Name,Worker Id Yomi Name,,,,
Workflow Id,Workflow Id,,,,
Workflow Id Unique,Workflow Id Unique,,,,
Workflow Suspended,Workflow Suspended,,,,
Xaml,Xaml,,,,
Yammer Email Address,Yammer Email Address,,,,
Yammer Group Id,Yammer Group Id,,,,
Yammer Network Permalink,Yammer Network Permalink,,,,
Yammer Oauth Access Token Expired,Yammer Oauth Access Token Expired,,,,
Yammer Post Method,Yammer Post Method,,,,
Yammer Post State,Yammer Post State,,,,
Yammer Retry Count,Yammer Retry Count,,,,
Yammer User Id,Yammer User Id,,,,
Year Start Week Code,Year Start Week Code,,,,
Yomi Company Name,Yomi Company Name,,,,
Yomi First Name,Yomi First Name,,,,
Yomi Full Name,Yomi Full Name,,,,
Yomi Last Name,Yomi Last Name,,,,
Yomi Middle Name,Yomi Middle Name,,,,
Yomi Name,Yomi Name,,,,
